label,carbon_price,cost_rmb,emissions_tco2,open_sites,open_dcs,road_share,rail_share,nev_share,tonne_km_total
emissions_min,0.0,457945986.21,13970.588,j1_Suzhou+j2_Chongqing,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.0253,0.8292,0.1454,560964553.0
eps_1,0.0,389653690.68,14480.932,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.0361,0.8904,0.0735,593509545.0
eps_2,0.0,388708609.84,14991.276,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.0679,0.8904,0.0416,593509545.0
eps_3,0.0,387763528.67,15501.619,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.0998,0.8904,0.0098,593509545.0
eps_4,0.0,387467748.73,16011.963,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1237,0.8763,0.0,594162492.0
eps_5,0.0,387459004.27,16522.307,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1441,0.8559,0.0,595104086.0
eps_6,0.0,387450259.14,17032.65,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1644,0.8356,0.0,596045679.0
eps_7,0.0,387441514.45,17542.994,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1846,0.8154,0.0,596987273.0
eps_8,0.0,387432769.76,18053.338,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.2048,0.7952,0.0,597928866.0
eps_9,0.0,387424025.08,18563.682,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.2249,0.7751,0.0,598870460.0
eps_10,0.0,387415280.39,19074.025,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.245,0.755,0.0,599812053.0
cost_min,0.0,387406535.25,19584.369,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.265,0.735,0.0,600753646.0
